Model,Souce,Comment,dependable,attractive styling,safe,drive comfort,prestigious,fuel efficient,affordable
Tucson,KBB,"2021 Tucson Limited FWD. 
~~Wife likes it, I hate it. My first major complaint is that the power driver's seat doesn't go down far enough, so I feel like I am always sitting on a booster seat that has me leaning forward into the windshield. Not to mention, at 5'10"" tall, for the same reason I have to contort my body and neck just to get in the vehicle! Unless you are 5'5"" or under (like my wife), the ergonomics of the driver's cabin are all wrong and very uncomfortable for a normal size person, especially for long trips! The driver's seat is also very bouncy feeling, and not very comfortable either.
Furthermore -  
~~The cell-phone battery charging feature never works consistently on any phone we have tried.
~~The electric brakes have no feel to them whatsoever. Terrible.
~~All the features of a Limited, yet there is NO compass (are you kidding me?!)!...lol.
~~The road noise, especially for a limited, is annoying as well. 
~~The blue-link stuff is only free for a short time, and then you have to pay up annually to access the same features that were free when you bought the car. *rolls eyes*. 
~~The engine is painfully under-powered even for people like me that don't need a more powerful engine to be happy. You will constantly find yourself having to nearly floor it to get it to downshift and actually accelerate at a normal pace. Then switch to 'sport mode' you say? Sure, then REALLY watch your mpg avg drop!
~~The cruise control, in it's basic, unassisted setting is HUGELY annoying, as it is very laggy and is  far more concerned about keeping you 3-4 mph UNDER the speed you set, than actually keeping your speed at your requested setting.
~~Under no circumstances has it even come close to the advertised mpg ratings for city or highway driving. I could go on... :( We will be trading it off very soon.",0,0,0,-1,0,0,0
RAV4,KBB,"Wanted the RAV4, tried several, no matter how seat is adjusted, top of my legs bump bottom of steering wheel.  Specs show 41"".  That's too short, needs to be at least 43"".  I'm 6' 1"" with slightly longer legs than torso, used to be champion long distance runner.  I can't get comfortable in this car, the cramped leg room will be terrible on long trips.  Thought about a bolt on seat extender but then my arms will probably be extended too far to be comfortable.",0,0,0,-1,0,0,0
CR-V,KBB,nice car for it's class. My only concern is the engine size which is too small and very noisy but it does the job. I like the tech of this car which is very advanced for it's class.,0,0,0,0,0,0,0
Forester,KBB,"Very comfortable car, Touring model with top features, lightly driven during pandemic, in excellent condition.",0,1,0,1,0,0,0
Tucson,KBB,"2021 Tucson Limited FWD. 
~~Wife likes it, I hate it. My first major complaint is that the power driver's seat doesn't go down far enough, so I feel like I am always sitting on a booster seat that has me leaning forward into the windshield. Not to mention, at 5'10"" tall, for the same reason I have to contort my body and neck just to get in the vehicle! Unless you are 5'5"" or under (like my wife), the ergonomics of the driver's cabin are all wrong and very uncomfortable for a normal size person, especially for long trips! The driver's seat is also very bouncy feeling, and not very comfortable either.
Furthermore -  
~~The cell-phone battery charging feature never works consistently on any phone we have tried.
~~The electric brakes have no feel to them whatsoever. Terrible.
~~All the features of a Limited, yet there is NO compass (are you kidding me?!)!...lol.
~~The road noise, especially for a limited, is annoying as well. 
~~The blue-link stuff is only free for a short time, and then you have to pay up annually to access the same features that were free when you bought the car. *rolls eyes*. 
~~The engine is painfully under-powered even for people like me that don't need a more powerful engine to be happy. You will constantly find yourself having to nearly floor it to get it to downshift and actually accelerate at a normal pace. Then switch to 'sport mode' you say? Sure, then REALLY watch your mpg avg drop!
~~The cruise control, in it's basic, unassisted setting is HUGELY annoying, as it is very laggy and is  far more concerned about keeping you 3-4 mph UNDER the speed you set, than actually keeping your speed at your requested setting.
~~Under no circumstances has it even come close to the advertised mpg ratings for city or highway driving. I could go on... :( We will be trading it off very soon.",0,0,0,-1,0,0,0
CR-V,Edmunds,"I truly love this car. It has so many updated new accessories and technology. It has the wheel assist along with sensors when switching lanes, sunroof, Apple CarPlay, heated seats. When getting too close to a car it will start breaking on its own. If you don’t drive between the lines and slowly swerve it takes control of the wheel and merges you back into the lane. It also has push to start and a remote start. Not to mention it’s amazing on guess and very reliable. You can’t go wrong with this car.",1,0,1,1,0,0,0
RAV4,KBB,Seems to be made for short people.,0,0,0,0,0,0,0
CX-5,KBB,Bose only on highest trim levels,0,0,0,0,0,0,0
CX-5,KBB,Fun and easy to drive. No wandering on highways.,1,0,1,1,0,0,0
CR-V,KBB,Could use updated computer screen,0,0,0,0,0,0,0
Tucson,Cars,The new model is very nice. I just wish the automatic trunk option was included with the newer one. I miss having that feature already,0,0,0,0,0,0,0
Forester,Cars,"This car is great!  Roomy, controls are easily accessible, the visibility is great, it handles well and is easy to park.  I test drove some of the competitors and found this the best.  Also my insurance rates are lower with this model versus the competitors.",0,0,1,1,0,0,0
CR-V,KBB,"Fun to drive, good gas mileage",0,0,0,0,0,1,0
Tucson,KBB,"Wind noise, MPG",0,0,0,0,0,0,0
RAV4,Edmunds,"First, the fuel economy is great. Although it only has 205 HP, with the turbo it does just fine on acceleration. Break system is very good as well has stable during hard breaking.. Road noise ? Very quite. The motors does get heard when mashing the gas, but what do you expect. Got the LE AWD with cloth seat, didn't want leather. The reason I went with the Toyota is the 100,000 mile warranty is transferable, when non of the other would transfer. When you pay $30K for a vehicle, put 7K miles on it, then get a offer from the dealer of $5K more than I paid for it, seems I did good on this one.",0,0,0,0,0,1,0
Sportage,KBB,"Fun, cute, good handling, roomy",0,1,0,0,0,0,0
CR-V,KBB,"We bought a 2017 CRV touring about 2 weeks ago. Took a trip to Jacksonville Florida from Maryland last week. Round trip was about 1500 highway miles. Its winter so no AC was used.  We have 2200 miles on it right now and we are getting 26.1 mpg and its going down. Its suppose to get 29 combined. 26 is not bad but when your expecting 29 its not good. We traded a 2016 CRV in and that was getting 24, it was suppose to get 27.
   We love everything else about it. The redesign inside and out is so much better than the 2016. It looks like a real SUV now. The leather seats are very comfortable. There is plenty of room in the backseat. There are a lot of nice safety features
   But if your looking for the 29mpg i dont think you will get it.",0,-1,0,-1,0,-1,0
Escape,KBB,"This is my third Equinox, and is probably the best!  It's a Premier, so it has many extra features.
Although I miss my CD player, with Sirrius and Pandora, I can receive beautiful music through a fine audio system.  Prior to purchasing, I drove numerous small to medium size SUVs, however, most
did not feel as solid as the Equinox.  Several were smaller and lighter, however with the number of miles I drive, I wanted the feeling of a comfortable and substantial vehicle, which could travel on ice and snow, get reasonably good gas mileage.  Those which were similar in ride and comfort were far more expensive.",0,0,0,1,0,1,1
CX-5,KBB,"I can’t say enough good things, responsive, fast, sleek, quiet and spacious. I’ve added larger exhaust tips, changed the turn signals to LED, added a wireless charger, etc.",0,1,0,0,0,0,0
CR-V,KBB,Never had any problems with this car.  Handled very well in snow and rain. Very comfortable and fun to drive and got 32 Mpg. Just got hit from behind and was in rollover accident on the highway  that totaled my car. All 6 airbags deployed. My daughter and I walked away from it without any injuries.,0,0,-1,1,0,0,0
Equinox,KBB,"Very quiet, 31mpg over last 15k miles. Smooth ride, too. Purchased new for $20k. Tows my utility trailer with 1300 lb load with no problem.",1,0,1,1,0,1,0
Tucson,KBB,"The size is good, I just don't like the plain-looking hatch in the back. The weels and front end look ok. It could use some better performance driving",0,0,0,0,0,0,0
Escape,KBB,None,0,0,0,0,0,0,0
CR-V,Edmunds,"Title says it all. I purchase the vehicle brand new (2021) three weeks ago, and have had it towed once and serviced twice. First the battery was already dead, then the infotainment system would no longer work. It’s okay looking, smells nice, and handles decently but I can already tell this was a poor purchase. Buy something else.",0,-1,0,0,0,0,0
CR-V,KBB,"Gas mileage, safety, comfort",0,0,0,0,0,0,0
Escape,KBB,"Have driven this car for a year. Love it,
Want to buy it. Good looking car. 
Want quote to see if worth buying.",0,0,0,0,0,0,0
Sportage,KBB,"This is a great little car, rides great and in my opinion very cute&sporty. I have visited family afew hours away and it drove great. Never any problems. Will be trading her in soon for a newer model, but will be sticking with the Sportage. It’s roomy and fun to drive. The only complaint I would have is the seats could be a bit more comfortable,  other than that I love her =)",1,1,1,1,0,0,0
CR-V,KBB,Noisy when going over bumps,0,0,0,0,0,0,0
CR-V,KBB,I just Love The Honda CRV's really good gas mi.,0,0,0,0,0,-1,0
Tucson,KBB,"Electronics not reliable, needs more power",0,0,0,0,0,0,0
Sportage,KBB,"Hard front seats, no memory on seats/mirrors",0,0,0,0,0,0,0
Tucson,KBB,"They have not fixed the engine issues that they've had previous recalls for. My timing belt tensioner and oil pump went bad, with no signs (even though I had all routine maintenance performed on it). By the time that they caught the problem, it was too late and the engine is fried. I don't even have 100,000 miles on the car but since it is used, they only warranty up to 60,000. Now I am out of a vehicle after only a year of ownership. It is absolutely ridiculous that the manufacturer would not help in this situation. They have had these issues and recalled over 100,00 of vehicles for this very thing. I will never buy another Hyundai.",0,0,0,0,0,0,0
Tucson,Cars,This car was everything I was looking for to last and start me off in life ? It drives great and it has amazing features,1,0,0,1,0,0,0
CR-V,KBB,"Fun to drive, good gas mileage",0,0,0,0,0,0,0
Forester,Edmunds,I always stayed with Lexus and Acura cars.This is my first Subaru Forester and so far I love the car. Over-all it drives vary nice and no complaints whatsoever.,0,0,0,0,0,0,0
Tucson,Edmunds,"Papa bear bought the Santa Fe, and Mama Bear bought the Tucson.  Perfect",0,0,0,0,0,0,0
CX-5,KBB,I absolutely love this crossover!!! It’s definitely the best in class for a reason or many. The handling & ride is like an even higher class vehicle. Excellent & super happy w my smart decision!,0,1,0,1,0,0,0
CR-V,Edmunds,"This is the third CRV I have owned.  I traded my 2013 for a 2021, after almost 170k in trouble-free miles.  I wish it wrere possible to get have gotten a brand new version of the 2013 rather than this overcomputerized, over plasticized car.  Too much plastic.  While handwashing, I could not put too much pressure on plastic bumpers, worried loosen them up, further.  Build quality not nearly as solid as the earlier model.  Despite all that, hoping for same reliability, at least mechanically.",-1,0,0,0,0,0,0
Escape,KBB,"Very quiet, 31mpg over last 15k miles. Smooth ride, too. Purchased new for $20k. Tows my utility trailer with 1300 lb load with no problem.",0,0,0,1,0,1,0
RAV4,KBB,"Love this vehicle, it's like driving a cloud.  Great visibility, smooth and responsive acceleration, great clearance, great gas mileage, plenty of cargo space, comfortable and quiet ride. Love the large touch screen/back up camera and the blind spot monitoring.  Very happy with this purchase.",0,0,0,1,0,1,0
Tucson,KBB,"I own this car for almost 2 years, we like travel with the family, is fun to drive and enjoy also kids love the panoramic sunrood and good looking car, great overall!",0,0,0,0,0,0,0
Forester,Cars,"I have only been leasing this car for a few weeks but I am in love! The handling, safety features, styling, and technology are all on point.",0,1,0,1,0,0,0
Escape,KBB,Roomie and great on milage,0,0,0,0,0,0,0
Rogue,KBB,"Complaints about the 2021 Nissan Rogue SV. Purchased 7-21-2021
I have almost 14,000 miles in this thing and wish I never purchased it. 

1.	The air condition system has a mind of its own. The dual personality is present wither the car has just been started or has been running a while. One side seems to blow the selected temperature. This is the passenger side of the vehicle. The other side, the driver’s side, wants to blow hot air all the time. If the temperature outside is say 80 and I want 72 in the car, the passenger side will cool down no problem BUT the driver’s side will blow hot, not warm but hot air. Seeing how the human body falls asleep in warm temperatures, I see this is a big safety problem.  In the colder months, when I want just a little bit of warm air, the same occurs, it will blow hot air, not slightly warm air like I want. 

2.	The cruise control and steering assist system have no idea what it means to gradually slow down or what to do on a slight hill approach. It also watches the vehicle in the right adjacent lane too much. For instance, on a 3-lane road, I will be driving the speed set on the cruise control but if a car in the right lane exits the highway, the car will brake like the vehicle is directly in front of it. It seems like a safety issue when the traffic behind me sees me slowing down for no reason at all. The cruise control also thinks an approaching hill is a car and will perform an emergency braking maneuver when all that is happening is that the vehicle is approaching an uphill grade.

3.	The third strike against this car is the FACT that the “infotainment system” has serious flaws. When putting the car in reverse, I expect the reverse camera to come on and have priority over all other infotainment systems. What happens is that I am in a parking lot and I need the camera to give me an overhead look so I pish the “camera” button on the infotainment system panel. No problem most times if I am doing under .005 mph. IF I am in the camera views where I get the forward-facing camera and an overhead view and hit the camera button once more for the front right tire view to assist me in parking, it will not switch views. It will just stay in the front camera overhead view screens. IF I place the vehicle in reverse while in this view, it will not change to the backup camera at all. It is just locked up. 

4.	When I received the vehicle from the dealership, I noticed an “off” type sound when I closed the rear drivers side door. It was not the usual soft thud from closing a well aligned door. It had more of a misaligned sound like it was nit lined up properly and striking something the wrong way. I mentioned this to the sales man but he just blew it off. Over time this has gotten more prevalent. I fear over time this will become like a truck from the 70’s where it sounds like closing an old door weighing 300 pounds against a metal pipe.",0,0,-1,0,0,0,0
CX-5,Cars,"I bought the Grand Touring, and it’s got everything I wanted in a new vehicle. Meets all my criteria and expectations! Still finding options that I didn’t know I had!",0,0,0,0,0,0,0
Tucson,KBB,Looks nice,0,1,0,0,0,0,0
Rogue,KBB,"Good gas mileage in ECO, infotainment, A/C, Safety",0,0,1,0,0,1,0
CR-V,Cars,"I have been driving a Toyota Rav4 since 2007 which is a great testimony as to the reliability of that car, (166,000 Miles), but.....the New 2021 Honda CR-V is just plain awesome.   The EX model has all the safety features that I wanted and the technology really personalized this car to fit ME.    I highly recommend this car as it has about everything one could want.   From the lumbar driver seat to the bluetooth integration of your phone and google maps, its all there.   You will not go wrong purchasing this vehicle.",1,0,1,0,0,0,0
Forester,Cars,This is our 4th Subaru and our favorite so far. We chose the Sport model of the Forester. We love the technology and all of the new safety features plus it's very comfortable getting in and out.,0,0,0,1,0,0,0
CX-5,Edmunds,"I've had my Signature now for about 6 months and have put 10k miles on it (runs between NC and MA).

First, a shoutout to Edmunds Mazda leasing information person who responded quickly to my request.  Got it just before going into the dealership and shamed them into rolling back the 3x lease rate they wanted initially.  Great info, and wonderful responsiveness!

I had resisted going the SUV route for a long time, but the sporting drivability of this vehicle has won me over.  I love to power into corners and feel the rear-wheel steering adjustment improve the tracking is wonderful.  And yes, the suspension is stiffer than some people like, but it also improves the driving experience for me.  Take a spirited test drive if you're not sure.

Coming from an Infiniti Q50, I still miss rear-wheel drive acceleration on occasion, but it looks like the CX-5 (CX-50) will have that when my lease is up so I can live with this quibble for now.  And although the CX-5 doesn't have all the luxury bells of the Infiniti, I still love getting 90% of it at 65% of the price!

Another ding is space, for people and for storage.  I have not had any complaints about people feeling like there's not enough room for them, so not a problem for me.  I will admit to occasionally wishing for a few more inches of storage space though.  I can work through it by reclining the front passenger seat though, so no showstoppers yet on the storage side.

Fit and finish are very well done.  I wasn't sure initially about the Caturra leather being the only seating option (brown?), but it's such a rich color I love it.  Ergonomically, I would wish for more aggressively bolstered seats, but my friends all think the seats function great from their perspectives.

The non-touch screen required only a short acclimation period; the controls in the center console are easy to find by touch and then get to navigation, entertainment, or communications.  I'll grouse about my inability to use voice controls effectively, but it's most likely me.

All in all, a great first SUV for me, and a great choice for others!",0,0,0,1,0,0,1
CR-V,Edmunds,"This is my 2nd Honda CR-V. The best car I have ever driven. Great mileage, fairly quiet, plenty of room, rides well, etc. I rate this car and the purchase from Atamian Honda 5 Stars.",0,0,0,0,0,0,0
Sportage,KBB,"This is one of the best car I ever had, a great space at the truck, the seats are very conforables
and the car stability is great.",0,0,1,1,0,0,0
CR-V,KBB,"This is the perfect car for me with a lot of safety features. It is a safe car and helps me be a safer driver. It's easy to get in and out, comfortable adjustable seats. The things I miss from my last car are remote control start-up and cd player.",0,0,1,1,0,0,0
CX-5,Edmunds,"Was a little skeptical since we previously bought a CR-V and really liked it.  When we drove the CX-5 it really sold us.  Handled great and was fun to drive.  Can't really say that about the CR-V, which is a great car, but I wouldn't categorize it as ""fun"".  There was snow on the road when we drove the CX-5 and it had no issue.  Would have liked to get a 2022 but none available.  The dealer didn't charge over sticker like all the other dealers in Chicagoland so that was a huge advantage.  So far super happy with the vehicle.",0,0,0,0,0,0,0
CX-5,KBB,"Fun to drive, cheap on gas, looks great , reliable",1,1,0,0,0,1,1
RAV4,KBB,Takes 4.5 hours to charge at 240 volts 15.6 amps,0,0,0,0,0,0,0
Forester,Cars,"I've been driving a Chevy Silverado for two years and decided we needed something more efficient on fuel.  After test driving several vehicles,  comparing fuel and safety features it was a no brainer to go with this new Forester.",0,0,1,0,0,1,0
Forester,Edmunds,"SuriusXM and starling, cost monthly fees after free trial. Otherwise, I’m enjoying all the features on this car.",0,0,0,0,0,0,0
Tucson,KBB,Sporadic low clunking noise after making a turn,0,0,0,0,0,0,0
RAV4,KBB,not stable side mirrors on high speed.. noisy,0,0,0,0,0,0,0
Sportage,Cars,My car is fully loaded and it is beautiful (and RED!). It is very comfortable and drives very nicely.  It was hard to say good-bye to my 2012 Kia Sportage but this one is amazing.,0,1,0,1,0,0,0
RAV4,Edmunds,"RAV4 TRD Off Road.  Best car I've ever owned.  Great mileage, super handling and comfortable on the open road.  In town turning and parking a dream.  Just a great all around vehicle. Capable of more then I use it for.  Nice to know its there if I need it.  Don't need a ""rock crawler"".",1,0,1,1,0,0,0
CX-5,KBB,Everything,0,0,0,0,0,0,0
Sportage,Edmunds,"In general I'm a huge proponent of Korean manufacturers and all the strides they've made over the last 10 years or so. There's clear evidence of major improvements across various platforms, and investment into design and development across the entire Genesis / Hyundai / Kia lineup. 
I'll start with the good. The Sportage is a very unique looking car and is certainly not for everyone. But for those that appreciate its uniqueness, it's a wonder to look at and drive. Kia openly advertises the fact that its latest design includes components inspired by the Porsche Macan. My test drive experience of the fully loaded SX model resulted in an overall pleasant experience. I was amazed with the quality of interior, excellent heated & ventilated seats, the glass roof with a huge opening moon roof panel, the sound system, the intuitive entertainment and navigation, and the power train - the 2.0L performed wonderfully and never left me wanting more throughout its range on local streets and the highway. Nice Michelin tires were originally included with the car. One negative stood out right away - the road noise. But I was willing to live with it given all the positives. I bought the car and overall, with the exception of road noise and few corks around I still enjoy the drive a year and a half later. My FWD SX Turbo model gets me 26MPG average in an approximate 70/30 highway/local split, which isn't the greatest in its class but is respectable given the power and the cargo room it offers. The Sportage is one of those cars that's much bigger on the inside than out. It's very roomy. Most passengers can't believe how roomy and well appointed the interior is after seeing the exterior. Now on to the cons....
The Kia Sportage is the longest running model within Kia's lineup, so buying the 2021 top of the line SX trim I expected it to be completely refined with any potential issues ironed out. That was not the case, not even close. Instead, I've been having issues and non-stop dealer visits since day one. Out of the gate, day 1, the alignment was off and the car pulled to the left constantly while driving - unacceptable from a brand new vehicle and has never happened to me before (I purchased 18 brand new vehicles so far in my life). The infotainment head unit stopped working with Navigation just hanging endlessly if you try to put in an address. The head unit had to be replaced within 2 months of driving since new. There were few other body panel and door latch issues. The driver's door had to be slammed to actually latch closed. The weirdest issue by far, and the one that still haunts the car every few months and requires a dealer visit for some patch work, is the loud whistle at 50MPH coming from the left fender where the bumper seem meets the left fender. Issue occurred day one, and was in fact a LOUD whistle, I'm not exaggerating, that can be heard through music in side the vehicle and results in the most annoying drive experience you can imagine. After several dealer visits and them eventually involving Kia corporate engineers, the fix was put in place - some foaming insulation poured into the seem to fill in the gap and stop the whistle. It worked for few months until AZ heat caused the glue to separate and the panel to completely come off. The whole bumper had to then be replaced by the dealer (another week in the shop). Once replaced, the issue came back with vengeance! The seem had to be jammed open and more insulation foam went in. It's holding for now. The vehicle is about a year and a half old and it's been in the shop at least a month so far. I wish Kia included the memory driver's seat feature, at least in top trim models. We have 3 drivers in the household and constant manual adjustments are needed. I've had much cheaper vehicles that include the feature. The road noise gets worse with tire wear. I notice it more and more and it is noticed by most passengers that have experienced the competition, something like a CR-V, the CX-5 or the RAV4. Having had multiple Genesis, Hyundai, and Kia vehicles, I can say with fair certainty that the undercarriage insulation is only done correctly in their Genesis lineup. Kia and Hyundai are insulated in a minimalist fashion to save on weight and costs. My G80 was whisper quiet on the road. But then again, it cost twice as much as the Sportage. One more and final big gripe is the dealer experience. The facility, the staff, the very obvious lack of training in all areas are seriously getting to me. I dread each visit these days, even for regular maintenance. I often find myself having to tell the service specialist what to do to fix a given issue. In summary, I feel like the Sportage, being one of the oldest models in the company's lineup, could have used a little more quality control and attention to detail in its manufacturing process. This could have been a great seller and competitor, but instead falls short in areas that are actually fairly simple to address.",0,-1,0,-1,0,0,0
Sportage,KBB,"This is one of the best car I ever had, a great space at the truck, the seats are very conforables
and the car stability is great.",0,0,1,1,0,0,0
RAV4,KBB,"Wanted the RAV4, tried several, no matter how seat is adjusted, top of my legs bump bottom of steering wheel.  Specs show 41"".  That's too short, needs to be at least 43"".  I'm 6' 1"" with slightly longer legs than torso, used to be champion long distance runner.  I can't get comfortable in this car, the cramped leg room will be terrible on long trips.  Thought about a bolt on seat extender but then my arms will probably be extended too far to be comfortable.",0,0,0,-1,0,0,0
CR-V,KBB,nice car for it's class. My only concern is the engine size which is too small and very noisy but it does the job. I like the tech of this car which is very advanced for it's class.,0,0,0,0,0,0,0
Bronco Sport,Cars,It’s a Small suv. Great on gas. Pick up is pretty good. Looks amazing. Priced a little bit high in my eyes but didn’t stop me from buying.,0,0,0,0,0,1,0
Rogue,Cars,Crown Nissan is the best dealership and has the best vehicles. Love my new Rogue. All the features and comfort makes driving a pleasure. Easy to drive and rides smooth.,0,0,0,1,0,0,0
CR-V,KBB,"I have not had any issues with the mechanical parts of this car; just the usual maintenance.  I have had to bring it into the shop for multiple electrical issues in the past year alone.  Be prepared to change your batter every year or two.  I've had issues with batteries, a/c control center, and now the entire safety suite is going haywire.  I will probably trade this car in and get something completely different.  This has put me off of buying a Honda ever again.",0,0,0,0,0,0,0
CR-V,Edmunds,I have had my CRV for a little over two weeks and love the gas mileage and ample room.  It is fun to drive and the love the extra safety features.,0,0,1,0,0,0,0
Equinox,Cars,"This car satisfies my needs.  It has enough bells and whistles to occupy my curiousity.  For a person my size, I find my vehicle very comfortable.",0,0,0,1,0,0,0
CX-5,Edmunds,"The Mazda marriage with Toyota make this a contender. Good build well balanced drives well in city and down the highway. Long list of safety features standard.
The 2.5l SKYACTIV-G and 6speed trans are next to bullet proof 
The only 2 issues that keep this from being a 5 star pick is 
1) the keyfobs have the buttons on the edge and I often set off alarm/lock/unlock by just carrying keys in pocket
2) the Mazda Connect system is weak. No touch screen and a clumsy menu make this a frustrating feature. The only savior is Apple carplay and Android",0,0,0,1,0,0,0
CR-V,KBB,none,0,0,0,0,0,0,0
CX-5,Edmunds,"I moved up, way up, from a 2013 GMC Terrain. The CX5 GTR is great! The power is fantastic, the ride is soooo much smoother , and the build quality is in a different universe from the GMC. The CX5 is very quiet, the Bose sound system superb, and the turbo flat out hauls a..... I looked at RAV4, CRV, ENVISION, Santa Fe, and RDX. The RDX was the only one even close, but was way more expensive.",0,0,0,1,0,0,0
RAV4,KBB,I have had my Toyota for 3 years now and I thoroughly enjoy driving it.  It has been a Winner in my book!,1,0,0,0,0,0,0
Rogue,Edmunds,Do not buy. 2021 Nissan Rogue 23 hours old and 170.0 miles suffered catastrophic engine failure. Worst part is that Nissan left my parents who are in their 80’s on the side of the freeway in the middle of nowhere and car can’t charge phone and it’s cold and raining with semi trucks passing them and hazard lights will not work. Nissan says we are sending a truck but we are going to leave you on the side of the road and you need to call Uber or negotiate with the tow company. Nissan’s response put their lives in danger for over 4 hours. My mom and dad are terrified of this car and Nissan’s response.... I will bet everything I own that Honda or Toyota’s response would have been way better and It’s not possible to be any worse...,0,0,0,0,0,0,0
Sportage,KBB,Easy to drive and it looks good.,0,1,0,0,0,0,0
CX-5,KBB,"Fun to drive, great get up and go with the turbo a",0,1,0,0,0,0,0
Bronco Sport,Cars,I have always wanted to own a Bronco and I couldn’t be more impressed. Ford did their homework and did not disappoint. I love the way it drives and looks. I have received a lot of compliments on mine. Well done Ford!,0,1,0,1,0,0,0
RAV4,KBB,"Sporty look ,quite, economy, comfort, power",0,1,0,0,0,0,0
Escape,KBB,terrible ride,0,0,0,0,0,0,0
CX-5,KBB,Noise level has improved on this model from the Gr,0,0,0,0,0,0,0
RAV4,KBB,"Buying a 2021 RAV-4 was one of my dreams as a Camry owner for 10 years.. and with whatever Camry offers i was led to believe RAV-4 would offer far more options.. decided to buy the XLE model knowing its the luxury model..!! but guess i was WRONG.
after making the deal and driving the car home.. discovered no options from the ones i have in my 2009 LE Camry exist in the 2021 XLE RAV-4....
the trunk doesn't open from inside.. you cant remote lift trunk gate.. no rain sensing wipers.. all the basic stuff are not there and they calls it XLE.
called dealer back and the reply was all these EXTRAs comes in packages for me to pay for which put me in shock till today. not happy at all.",0,0,0,0,0,0,0
Rogue,Edmunds,"We just bought this today and it was 2 hours home. In the city of Bangor Maine the roads are smooth so the ride is ok. As we got outside of Bangor this thing rides like a tank, you feel every single bump hard. There is no comfort mode on this car. The seat are terrible and to make it worse any bump on one side and the body roll on this thing is unreal. We won't be keeping this. It is too bad because it is a sharp vehicle but the hard ride and seats and body roll make this one to stay away from. Worst car we have ever bought,",0,-1,0,-1,0,0,0
Forester,Cars,"This is our 2nd Forester.  It has amazing safety features as well as ease of entry.  The doors open very wide.

We are also thrilled with the sales staff at Peoria Subaru in Peoria AZ.",0,0,0,0,0,0,0
Tucson,Edmunds,"I call it ""simply the best"" because it has it all..smooth on the road, roomy inside and a classy look everything's  perfect..",0,1,0,1,0,0,0
CX-5,Edmunds,"Owning a Honda Pilot for 9 years, I knew it was too big and thirsty for my current needs. But I was concerned about feeling cramped in a compact CUV. No worries there. The CX-5 was extremely comfortable, well-appointed, and packed with features for the price. I test drove a Carbon Turbo and a Touring preferred pkg at my first dealership. I had seen reviews say the base engine was a bit weak, but I found the regular engine to have plenty of pep and power. In fact, because of traffic, I didn't get to really open the turbo up during the test drive. I realized with my driving patterns, I really wouldn't have much need for the Turbo. 

The Carbon Edition is basically the Touring trim with the SV Preferred package items and some trim items unique to this level. Including a paint color called Polymetal Grey, which is actually a very sharp steely blue. It also has a different grill, black wheels, black trim around the wheel wells. On the interior, the black leather seats are accented with red stitching. A red interior is also available, which I though would look horrid, but actually looks pretty sweet in person.

As good as the car looks, it's also fun to drive. Very responsive and handles well. Loaded with safety and convenience features that make driving a pleasure. 

As I said in the title, I drove the CX-5 first, but wanted to see what else was out there. Anything else I drove just left me flat. Wasn't even close. So the CX-5 it was. Buy this car, and you'll be looking for reasons to go for a drive.",0,0,0,1,0,0,0
Forester,KBB,"I purchased November 2019, oyster (off-white) pearlcoat w/black interior, as a dealer demo model. It has all of the bells & whistles available. The dealer said it was in a ""minor"" accident before I got it, and the dealer discounted it about $9K to move it. The accident reportedly caused both rear quarter panels to be replaced, also had to replace the gate, seems pretty significant to me. 

The engine feels about right, it has a lot of features that are really nice. It's strong, the CVT is smooth. Towing capacity is only 1500 lbs. so it would have to be a very light trailer; I did add a hitch receiver for a bicycle rack. I added aftermarket load crossbars for my kayak, the Subaru-brand ones were ridiculously overpriced.

On the highway, it feels solid, stable, with little body lean in turns, tracks well, fairly quiet for this class. The cruise control and driver monitoring are great. Visual warnings for passing vehicles, active lane control, cruise control keeps you at your selected distance from the car ahead quite well. 70mph cruise nets about 34mpg, not bad. Gentle driving in town nets about 28mpg.

Infrequently, but remarkable nonetheless: in traffic, lane changes causes the cruise control to make the engine to roar up to 4000 rpm & seems to be closing on the car ahead too fast, then hard braking and order restored, but it's unsettling. Mostly, it's benign.

The auto-engine off feature needs work on the algorithm. It comes on about 30% of stops. By contrast, my wife has a same-year CRV stops the engine 90% or the time.

I don't notice any changes driving when I loaded it down with sand & rocks, except coming over a bump felt different.

Infotainment system works well, but it's best to get things set while parked, because it's not easy, trying to change while driving. Subaru should have a class about how to use the vehicle. The owner's manual etc. is a brick, and there's four different manuals incl. the main one and the ""quick start"" version.",0,0,0,-1,0,0,0
Bronco Sport,Cars,Went to go buy one after months of waiting and what a disappointment. Sooo small.  Teenage girl car.   Have seen 3 on the road in the city since I drove it and all have been driven by girls.,0,0,0,0,0,0,0
RAV4,KBB,This is the noisiest vehicule I have ever owned. Step on the gas to pass and Wow. Seems like the engine wants to rip out of the car. Other than that I like the car. But I much prefered  my 2018 Rav 4. Regret changing.,0,0,0,0,0,0,0
Escape,Edmunds,"Personally like interior trim, smooth ride, and many extra features in the Titanium Hybrid.  Added a hitch for small towing needs, installed by Ford.  Factory installed would have been ideal but wasn’t in stock at time of purchase.  I am particularly impressed with mileage.  So far approx 43% of my overall miles are electric, however mostly short haul trips.  No regrets!  Very happy so far but time will tell how it holds up.",0,0,0,0,0,0,0
